,Polylines,X,Y
717,38,157.0,331.0
718,38,158.0,331.0
719,38,159.0,332.0
720,38,160.0,332.0
721,38,161.0,332.0
722,38,162.0,332.0
723,38,163.0,333.0
724,38,164.0,333.0
725,38,165.0,333.0
726,38,166.0,334.0
727,38,167.0,334.0
728,38,168.0,334.0
729,39,88.0,8.0
730,39,88.0,9.0
731,39,89.0,10.0
732,39,90.0,11.0
733,39,91.0,12.0
734,39,92.0,13.0
735,39,93.0,14.0
736,39,94.0,15.0
737,39,95.0,15.0
738,39,96.0,16.0
739,40,207.0,428.0
740,40,208.0,428.0
741,40,209.0,428.0
742,40,210.0,427.0
743,40,211.0,427.0
744,40,211.0,427.0
745,40,212.0,426.0
746,40,213.0,426.0
747,40,214.0,425.0
748,40,215.0,425.0
749,40,216.0,424.0
750,40,217.0,424.0
751,40,218.0,423.0
752,40,219.0,423.0
753,40,220.0,423.0
754,40,221.0,423.0
755,40,222.0,422.0
756,40,223.0,421.0
757,40,224.0,420.0
758,40,225.0,419.0
759,40,225.0,418.0
760,40,226.0,417.0
761,40,226.0,417.0
762,40,227.0,416.0
763,40,228.0,415.0
764,40,229.0,414.0
765,40,230.0,413.0
766,40,231.0,412.0
767,40,232.0,411.0
768,40,232.0,411.0
769,40,233.0,410.0
770,40,234.0,410.0
771,40,235.0,410.0
772,40,236.0,409.0
773,40,237.0,409.0
774,40,238.0,409.0
775,40,239.0,410.0
776,40,240.0,410.0
777,40,241.0,410.0
778,40,242.0,410.0
779,40,243.0,410.0
780,40,244.0,409.0
781,40,245.0,409.0
782,40,246.0,409.0
783,40,247.0,409.0
784,40,248.0,409.0
785,40,249.0,408.0
786,40,250.0,408.0
787,40,251.0,407.0
788,40,252.0,407.0
789,40,253.0,406.0
790,40,254.0,406.0
791,40,255.0,406.0
792,40,256.0,406.0
793,40,257.0,406.0
794,40,258.0,405.0
795,40,259.0,406.0
796,40,260.0,406.0
797,40,261.0,406.0
798,40,262.0,406.0
799,40,263.0,406.0
800,40,264.0,406.0
801,40,265.0,406.0
802,40,266.0,406.0
803,40,267.0,406.0
804,40,268.0,406.0
805,40,269.0,405.0
806,40,270.0,405.0
807,40,271.0,405.0
808,40,272.0,404.0
809,40,273.0,404.0
810,40,274.0,404.0
811,40,275.0,405.0
812,40,276.0,405.0
813,40,277.0,404.0
814,40,278.0,404.0
815,41,336.0,188.0
816,41,336.0,189.0
817,42,181.0,86.0
818,42,182.0,86.0
819,42,183.0,87.0
820,42,184.0,88.0
821,42,185.0,88.0
822,42,186.0,88.0
823,42,187.0,88.0
824,42,188.0,89.0
825,42,189.0,89.0
826,42,190.0,90.0
827,42,191.0,90.0
828,42,192.0,90.0
829,42,193.0,91.0
830,42,194.0,92.0
831,42,195.0,92.0
832,42,196.0,93.0
833,42,197.0,93.0
834,42,198.0,93.0
835,42,199.0,93.0
836,42,200.0,93.0
837,42,201.0,93.0
838,42,202.0,93.0
839,42,203.0,93.0
840,42,204.0,93.0
841,42,205.0,93.0
842,42,206.0,93.0
843,43,303.0,51.0
844,43,304.0,51.0
845,43,305.0,51.0
846,43,306.0,51.0
847,43,307.0,51.0
848,43,308.0,51.0
849,43,309.0,50.0
850,44,385.0,127.0
851,44,386.0,127.0
852,44,387.0,127.0
853,44,388.0,127.0
854,44,389.0,127.0
855,44,390.0,127.0
856,44,391.0,126.0
857,44,392.0,126.0
858,44,393.0,126.0
859,44,394.0,125.0
860,44,395.0,125.0
861,44,396.0,125.0
862,44,396.0,125.0
863,44,397.0,124.0
864,44,398.0,124.0
865,44,399.0,123.0
866,44,400.0,123.0
867,44,401.0,123.0
868,44,402.0,122.0
869,44,403.0,122.0
870,44,404.0,122.0
871,44,405.0,122.0
872,44,406.0,122.0
873,44,407.0,122.0
874,44,408.0,122.0
875,44,409.0,122.0
876,44,410.0,123.0
877,44,411.0,123.0
878,44,412.0,123.0
879,44,412.0,123.0
880,44,413.0,124.0
881,44,414.0,125.0
882,44,415.0,125.0
883,44,416.0,125.0
884,44,416.0,125.0
885,44,417.0,126.0
886,44,418.0,126.0
887,44,419.0,126.0
888,44,420.0,127.0
889,44,421.0,127.0
890,44,422.0,127.0
891,44,423.0,127.0
892,44,424.0,126.0
893,44,425.0,126.0
894,44,426.0,126.0
895,45,203.0,29.0
896,45,204.0,28.0
897,46,406.0,175.0
898,46,407.0,175.0
899,46,408.0,174.0
900,46,409.0,174.0
901,46,410.0,174.0
902,47,351.0,158.0
903,47,352.0,158.0
904,47,353.0,158.0
905,47,354.0,158.0
906,47,355.0,159.0
907,47,356.0,159.0
908,48,114.0,221.0
909,48,115.0,222.0
910,49,391.0,445.0
911,49,392.0,446.0
912,49,393.0,446.0
913,49,394.0,446.0
914,49,395.0,446.0
915,50,153.0,57.0
916,50,153.0,57.0
917,51,115.0,376.0
918,51,116.0,376.0
919,51,117.0,375.0
920,51,118.0,375.0
921,51,119.0,375.0
922,51,120.0,375.0
923,51,121.0,375.0
924,51,122.0,375.0
925,51,123.0,375.0
926,51,124.0,375.0
927,51,125.0,375.0
928,51,126.0,374.0
929,51,127.0,374.0
930,51,128.0,374.0
931,51,129.0,373.0
932,51,130.0,373.0
933,51,131.0,372.0
934,51,132.0,372.0
935,51,133.0,371.0
936,51,134.0,371.0
937,51,135.0,371.0
938,51,136.0,370.0
939,51,137.0,370.0
940,51,138.0,369.0
941,51,139.0,369.0
942,51,140.0,368.0
943,51,141.0,368.0
944,51,142.0,368.0
945,51,143.0,367.0
946,51,143.0,367.0
947,51,144.0,366.0
948,51,145.0,365.0
949,51,146.0,365.0
950,51,147.0,364.0
951,51,147.0,363.0
952,51,148.0,362.0
953,51,149.0,361.0
954,51,149.0,360.0
955,51,150.0,359.0
956,51,151.0,358.0
957,51,151.0,357.0
958,51,152.0,356.0
959,51,152.0,355.0
960,51,153.0,354.0
961,51,154.0,353.0
962,51,154.0,352.0
963,51,154.0,351.0
964,51,155.0,350.0
965,51,156.0,349.0
966,51,157.0,348.0
967,51,157.0,347.0
968,51,157.0,346.0
969,52,81.0,22.0
970,52,82.0,22.0
971,52,83.0,22.0
972,52,84.0,22.0
973,52,85.0,22.0
974,52,86.0,22.0
975,53,420.0,220.0
976,53,421.0,220.0
977,54,384.0,193.0
978,54,385.0,193.0
979,54,386.0,193.0
980,54,387.0,193.0
981,54,388.0,194.0
982,54,389.0,194.0
983,54,390.0,194.0
984,54,391.0,194.0
985,54,392.0,194.0
986,55,485.0,142.0
987,55,486.0,142.0
988,55,487.0,142.0
989,55,488.0,143.0
990,55,489.0,143.0
991,55,490.0,143.0
992,55,491.0,143.0
993,55,492.0,144.0
994,55,493.0,144.0
995,55,494.0,144.0
996,55,495.0,144.0
997,55,496.0,144.0
998,55,497.0,144.0
999,56,510.0,447.0
1000,56,511.0,447.0
1001,57,152.0,503.0
1002,57,153.0,503.0
1003,57,154.0,504.0
1004,57,155.0,504.0
1005,57,156.0,504.0
1006,58,323.0,56.0
1007,58,324.0,56.0
1008,58,325.0,56.0
1009,58,326.0,57.0
1010,59,122.0,83.0
1011,59,123.0,82.0
1012,60,105.0,462.0
1013,60,104.0,463.0
1014,60,103.0,464.0
1015,60,102.0,465.0
1016,60,101.0,466.0
1017,60,100.0,467.0
1018,60,100.0,468.0
1019,61,219.0,225.0
1020,61,220.0,225.0
1021,61,221.0,225.0
1022,62,94.0,235.0
1023,62,95.0,235.0
1024,62,96.0,235.0
1025,62,97.0,236.0
1026,62,98.0,237.0
1027,62,99.0,237.0
1028,62,100.0,237.0
1029,62,101.0,237.0
1030,63,391.0,159.0
1031,63,391.0,159.0
1032,63,392.0,158.0
1033,63,392.0,157.0
1034,63,393.0,157.0
1035,63,394.0,157.0
1036,64,188.0,227.0
1037,64,189.0,227.0
1038,65,344.0,152.0
1039,65,343.0,153.0
1040,65,343.0,154.0
1041,65,343.0,155.0
1042,66,440.0,150.0
1043,66,441.0,150.0
1044,67,13.0,346.0
1045,67,14.0,346.0
1046,67,15.0,346.0
1047,67,16.0,346.0
1048,67,17.0,346.0
1049,68,146.0,247.0
1050,68,147.0,246.0
1051,68,148.0,245.0
1052,68,149.0,245.0
1053,68,150.0,245.0
1054,68,151.0,246.0
1055,68,152.0,247.0
1056,68,152.0,248.0
1057,68,152.0,249.0
1058,68,152.0,250.0
1059,68,152.0,251.0
1060,68,151.0,252.0
1061,68,150.0,253.0
1062,68,150.0,254.0
1063,68,150.0,255.0
1064,68,150.0,256.0
1065,68,150.0,257.0
1066,68,150.0,258.0
1067,68,150.0,259.0
1068,68,150.0,260.0
1069,68,150.0,260.0
1070,68,151.0,261.0
1071,68,152.0,262.0
1072,68,153.0,263.0
1073,68,154.0,264.0
1074,68,155.0,264.0
1075,68,156.0,265.0
1076,68,157.0,265.0
1077,68,158.0,266.0
1078,68,159.0,266.0
1079,68,160.0,267.0
1080,68,161.0,267.0
1081,68,162.0,267.0
1082,68,163.0,267.0
1083,68,164.0,267.0
1084,68,165.0,267.0
1085,68,166.0,267.0
1086,68,167.0,267.0
1087,68,168.0,267.0
1088,68,169.0,267.0
1089,69,50.0,405.0
1090,69,51.0,405.0
1091,69,52.0,406.0
1092,69,53.0,406.0
1093,69,54.0,407.0
1094,69,55.0,407.0
1095,69,56.0,407.0
1096,69,57.0,407.0
1097,69,58.0,407.0
1098,69,59.0,406.0
1099,69,60.0,406.0
1100,70,336.0,170.0
1101,70,336.0,171.0
1102,71,472.0,64.0
1103,71,473.0,65.0
1104,71,473.0,65.0
1105,71,474.0,65.0
1106,71,475.0,65.0
1107,71,476.0,65.0
1108,71,477.0,65.0
1109,71,478.0,66.0
1110,71,478.0,67.0
1111,71,479.0,67.0
1112,71,480.0,67.0
1113,71,481.0,67.0
1114,71,482.0,67.0
1115,72,164.0,503.0
1116,72,165.0,503.0
1117,72,166.0,503.0
1118,72,167.0,502.0
1119,72,168.0,502.0
1120,72,169.0,502.0
1121,72,170.0,502.0
1122,72,171.0,501.0
1123,72,172.0,501.0
1124,72,173.0,501.0
1125,72,174.0,501.0
1126,72,175.0,501.0
1127,72,176.0,500.0
1128,72,177.0,499.0
1129,72,178.0,498.0
1130,72,179.0,496.0
1131,72,179.0,495.0
1132,73,327.0,275.0
1133,73,328.0,275.0
1134,73,329.0,276.0
1135,74,485.0,174.0
1136,74,486.0,174.0
1137,74,487.0,173.0
1138,75,115.0,377.0
1139,75,116.0,378.0
1140,75,117.0,378.0
1141,75,117.0,378.0
1142,75,118.0,379.0
1143,75,119.0,379.0
1144,75,120.0,379.0
1145,75,121.0,380.0
1146,75,122.0,380.0
1147,75,123.0,380.0
1148,75,124.0,380.0
